tmdbId,title,overview,cast,director
1450,Blood: The Last Vampire,"On the surface, Saya is a stunning 16-year-old, but that youthful exterior hides the tormented soul of a 400-year-old ""halfling"". Born to a human father and a vampire mother, she has for centuries been a loner obsessed with using her samurai skills to rid the world of vampires, all the while knowing that she herself can survive only on blood like those she hunts.","Jun Ji-hyun,Allison Miller,Liam Cunningham",Chris Nahon
1483,Begotten,"Begotten is the creation myth brought to life, the story of no less than the violent death of God and the (re)birth of nature on a barren earth.","Brian Salzberg,Donna Dempsey,Stephen Charles Barry",
1487,Hellboy,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demonâ€”Hellboyâ€”has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.","Ron Perlman,John Hurt,Selma Blair",
1547,The Lost Boys,A mother and her two teenage sons move to a seemingly nice and quiet small coastal California town yet soon find out that it's overrun by bike gangs and vampires. A couple of teenage friends take it upon themselves to hunt down the vampires that they suspect of a few mysterious murders and restore peace and calm to their town.,"Jason Patric,Corey Haim,Dianne Wiest",Joel Schumacher
1551,Flatliners,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life.","Kiefer Sutherland,Julia Roberts,Kevin Bacon",Joel Schumacher
1560,Singapore Sling,"Singapore Sling is chasing after Laura, a romantic memory from his past. One night he finds himself in a mysterious villa, watching two women bury a body. He falls into their trap and, in an atmosphere of isolation and decadence, the trio act out insane pleasure games and a ritual of blood and murder.","Meredyth Herold,Michele Valley,Panos Thanassoulis",
1562,28 Weeks Later,"The inhabitants of the British Isles have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.","Robert Carlyle,Rose Byrne,Jeremy Renner",
1576,Resident Evil,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak. Alice and Rain are charged with leading the mission. But they only have three hours before the pathogen becomes airborne and infects the world.","Milla Jovovich,Michelle Rodriguez,Eric Mabius",
1577,Resident Evil: Apocalypse,"As the city is locked down under quarantine, Alice finds out that the people that died from the previous incident at the Umbrella Corporation have turned into zombies. She then joins a small band of elite soldiers, who are enlisted to rescue the missing daughter of the creator of the mutating T-virus.  Once lack of luck and resources happen, they begin to wage an exhilarating battle to survive and escape before the Umbrella Corporation erases its experiment from the face of the earth.","Milla Jovovich,Sienna Guillory,Oded Fehr",Alexander Witt
1596,Population 436,A census-taker is sent to investigate why a certain small town has had the same population -- 436 residents -- for the last 100 years.,"Jeremy Sisto,Charlotte Sullivan,Fred Durst",Michelle MacLaren
1678,Godzilla,"Japan is thrown into a panic after several ships are sunk near Odo Island. An expedition to the island led by Dr. Yemani soon discover something far more devastating than imagined in the form of a 50 meter tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well.","Akira Takarada,Momoko KÃ´chi,Akihiko Hirata",
1679,Godzilla Raids Again,"Two fishing scout pilots make a horrifying discovery when they encounter a second Godzilla alongside a new monster named Anguirus. Without the weapon that killed the original, authorities attempt to lure Godzilla away from the mainland. But Anguirus soon arrives and the two monsters make their way towards Osaka as Japan braces for tragedy.","Hiroshi Koizumi,Setsuko Wakayama,Minoru Chiaki",Motoyoshi Oda
1683,The Reaping,"Katherine Morrissey, a former Christian missionary, lost her faith after the tragic deaths of her family. Now she applies her expertise to debunking religious phenomena. When a series of biblical plagues overrun a small town, Katherine arrives to prove that a supernatural force is not behind the occurrences, but soon finds that science cannot explain what is happening. Instead, she must regain her faith to combat the evil that waits in a Louisiana swamp.","Hilary Swank,David Morrissey,Idris Elba",Stephen Hopkins
1690,Hostel,"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.","Jay Hernandez,Barbara Nedeljakova,Derek Richardson",
1691,Hostel: Part II,"Three American college students studying abroad are lured to a Slovakian hostel, and discover the grim reality behind it.","Lauren German,Heather Matarazzo,Bijou Phillips",
1694,Re-Animator,A dedicated student at a medical college and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue when an odd new student arrives on campus.,"Jeffrey Combs,Bruce Abbott,Barbara Crampton",
1696,The Devil's Rejects,"The sequel to House of 1000 Corpses â€“ the Firefly family are ambushed at their isolated home by Sheriff Wydell and a squad of armed men guns blazing â€“ yet only Otis and his sister, Baby, manage to escape the barrage of bullets unharmed. Hiding out in a backwater motel, the wanted siblings wait to rendezvous with their errant father, Captain Spaulding, killing whoever happens to stand in their way.","Sid Haig,Bill Moseley,Sheri Moon Zombie",
1698,Anatomy,"Medical student Paula Henning wins a place at an exclusive Heidelberg medical school. When the body of a young man she met on the train turns up on her dissection table, she begins to investigate the mysterious circumstances surrounding his death, and uncovers a gruesome conspiracy perpetrated by an Antihippocratic secret society operating within the school.","Franka Potente,Benno FÃ¼rmann,Anna Loos",
1700,Misery,"Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes, the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also dangerously unstable, and Paul finds himself crippled, drugged, and at her mercy.","James Caan,Kathy Bates,Richard Farnsworth",Rob Reiner
1710,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"Sigourney Weaver,Holly Hunter,Will Patton",Jon Amiel
1842,The Legend of Boggy Creek,"A documentary-style drama based on true accounts of the Fouke Monster in Arkansas, Boggy Creek focuses on the lives of back country people and their culture while chronicling sightings of the monster.","Vern Stierman,Chuck Pierce Jr.,William Stumpp",Charles B. Pierce
